fecha,usdclp,tpm
2019-07-01,686.06,2.5
2019-08-01,713.7,2.5
2019-09-01,718.44,2.06
2019-10-01,721.03,1.94
2019-11-01,776.53,1.75
2019-12-01,770.3905,1.75
2020-01-01,772.647727272727,1.75
2020-02-01,796.38,1.75
2020-03-01,839.375454545455,1.38
2020-04-01,853.379047619048,0.5
2020-05-01,821.805263157895,0.5
2020-06-01,793.718095238095,0.5
2020-07-01,784.729090909091,0.5
2020-08-01,784.661904761905,0.5
2020-09-01,773.402380952381,0.5
2020-10-01,788.267142857143,0.5
2020-11-01,762.88,0.5
2020-12-01,734.733,0.5
2021-01-01,723.556,0.5
2021-02-01,722.6265,0.5
2021-03-01,726.366086956522,0.5
2021-04-01,707.845238095238,0.5
2021-05-01,712.2595,0.5
2021-06-01,726.5445,0.5
2021-07-01,750.440476190476,0.63
2021-08-01,779.828181818182,0.75
2021-09-01,783.62619047619,1.5
2021-10-01,813.9505,2.25
2021-11-01,812.624761904762,2.75
2021-12-01,849.121904761905,3.46
2022-01-01,822.05,4.21
2022-02-01,807.068,5.5
2022-03-01,799.187391304348,5.63
2022-04-01,815.123,7.0
2022-05-01,849.39,8.02
2022-06-01,857.7695,8.81
2022-07-01,953.706190476191,9.43
2022-08-01,904.352272727273,9.75
2022-09-01,921.0075,10.55
2022-10-01,955.894736842105,11.07
2022-11-01,917.052857142857,11.25
2022-12-01,875.661428571429,11.25
2023-01-01,826.335714285714,11.25
2023-02-01,798.2575,11.25
2023-03-01,809.503913043478,11.25
2023-04-01,803.836842105263,11.25
2023-05-01,798.635454545455,11.25
2023-06-01,799.8725,11.25
2023-07-01,813.397142857143,11.2
2023-08-01,855.659545454545,10.25
2023-09-01,884.403684210526,9.62
2023-10-01,926.347,9.45
2023-11-01,886.614285714286,9.0
2023-12-01,874.665789473684,8.72
2024-01-01,907.986818181818,8.25
2024-02-01,963.442380952381,7.25
2024-03-01,967.9325,7.25
2024-04-01,960.138181818182,6.57
2024-05-01,917.877142857143,6.36
2024-06-01,926.081052631579,5.91
2024-07-01,937.560909090909,5.75
2024-08-01,929.895238095238,5.75
2024-09-01,926.214444444444,5.53
2024-10-01,933.812272727273,5.4
2024-11-01,971.6,5.25
2024-12-01,982.296,5.15
